title,dept_num,credits,instructor,university,term,keyword
"Topic: Technology, Digital Media and Social Issues",MCO 494,3,Kwon,arizona state university-tempe,Spring 2018,"social,technolog"
"Topic: Technology, Digital Media and Social Issues",MCO 598,3,Kwon,arizona state university-tempe,Spring 2018,"social,technolog"
"Topic: Science, Technology and Society Reading Group
(SEM)",HSD 591,1,Fisher,arizona state university-tempe,Spring 2018,"societ,technolog"
"Adv Science &Technology Policy
(SEM)",HSD 502,3,Maynard,arizona state university-tempe,Spring 2018,"polic,technolog"
"Adv Science &Technology Policy
(SEM)",POS 572,3,Maynard,arizona state university-tempe,Spring 2018,"polic,technolog"
Governing Emerging Technologie,FIS 333,3,Frow,arizona state university-tempe,Fall 2018,"govern,technolog"
Topic: Technology Law,LAW 394,3,Juetten,arizona state university-tempe,Fall 2018,"law,technolog"
Science and Technology Policy,FIS 336,3,Farooque,arizona state university-tempe,Fall 2018,"polic,technolog"
"Science & Technology Policy
(SEM)",HSD 501,3,Cook-Deegan,arizona state university-tempe,Fall 2018,"polic,technolog"
"Science & Technology Policy
(SEM)",POS 571,3,Cook-Deegan,arizona state university-tempe,Fall 2018,"polic,technolog"
"Adv Science &Technology Policy
(SEM)",HSD 502,3,Maynard,arizona state university-tempe,Spring 2019,"polic,technolog"
"Topic: Comparative Science,Technology & Innovation Policy",HSD 598,3,Aganaba,arizona state university-tempe,Spring 2019,"polic,technolog"
"Topic: Science, Technology and Society Reading Group
(SEM)",HSD 591,1,Fisher,arizona state university-tempe,Fall 2017,"societ,technolog"
Science and Technology Policy,FIS 336,3,Farooque,arizona state university-tempe,Fall 2017,"polic,technolog"
"Science & Technology Policy
(SEM)",HSD 501,3,Cook-Deegan,arizona state university-tempe,Fall 2017,"polic,technolog"
"Science & Technology Policy
(SEM)",POS 571,3,Cook-Deegan,arizona state university-tempe,Fall 2017,"polic,technolog"
Information Security & Control,CIS 540,3,Steinbart,arizona state university-tempe,Spring 2018,secur
Info Assurance & Security,CSE 543,3,Yau,arizona state university-tempe,Spring 2018,secur
Software Security,CSE 545,3,Doupe,arizona state university-tempe,Spring 2018,secur
Adv Computer Network Security,CSE 548,3,Huang,arizona state university-tempe,Spring 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Schreindorfer,arizona state university-tempe,Spring 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Schreindorfer,arizona state university-tempe,Spring 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bhattacharya,arizona state university-tempe,Spring 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Schreindorfer,arizona state university-tempe,Spring 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Smith,arizona state university-tempe,Spring 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bonadurer,arizona state university-tempe,Spring 2018,secur
Derivative Financl Securities,FIN 427,3,Bhattacharya,arizona state university-tempe,Spring 2018,secur
Topic: Trading in Financial Securities Markets,FIN 494,3,Elkins,arizona state university-tempe,Spring 2018,secur
Natl Security/Intell/Terrorism,POS 364,3,Ellis,arizona state university-tempe,Spring 2018,secur
International Security,POS 467,3,Comstock,arizona state university-tempe,Spring 2018,secur
Topic: National Security Policy Design,POS 494,3,Pagel,arizona state university-tempe,Spring 2018,secur
National Security Affairs,AES 401,3,"Duncan, Manriquez, Padbury",arizona state university-tempe,Fall 2018,secur
Computer Systems Security,CSE 466,3,Shoshitaishvili,arizona state university-tempe,Fall 2018,secur
Computer Network Security,CSE 468,3,Huang,arizona state university-tempe,Fall 2018,secur
Info Assurance & Security,CSE 543,3,Yau,arizona state university-tempe,Fall 2018,secur
Software Security,CSE 545,3,Wang,arizona state university-tempe,Fall 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Radway,arizona state university-tempe,Fall 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Boguth,arizona state university-tempe,Fall 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bhattacharya,arizona state university-tempe,Fall 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bhattacharya,arizona state university-tempe,Fall 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Sacks,arizona state university-tempe,Fall 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Boguth,arizona state university-tempe,Fall 2018,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bhattacharya,arizona state university-tempe,Fall 2018,secur
Derivative Financl Securities,FIN 427,3,Aragon,arizona state university-tempe,Fall 2018,secur
Natl Security/Intell/Terrorism,POS 364,3,Pout,arizona state university-tempe,Fall 2018,secur
Topic: National Security Policy Design,POS 494,3,Pagel,arizona state university-tempe,Fall 2018,secur
Information Security & Control,CIS 540,3,Steinbart,arizona state university-tempe,Spring 2019,secur
Topic: Artificial Intelligence for Cyber Security,CSE 494,3,Shakarian,arizona state university-tempe,Spring 2019,secur
Info Assurance & Security,CSE 543,3,Yau,arizona state university-tempe,Spring 2019,secur
Software Security,CSE 545,3,Yau,arizona state university-tempe,Spring 2019,secur
Adv Computer Network Security,CSE 548,3,Huang,arizona state university-tempe,Spring 2019,secur
Topic: Computer Security: Techniques and Tactics,CSE 591,3,Bao,arizona state university-tempe,Spring 2019,secur
"Topic: Smart Grid Ops, Cybersecurity & Data Analytics",EEE 598,3,Sankar,arizona state university-tempe,Spring 2019,secur
Security Analys Portfolio Mgmt,FIN 421,3,Schreindorfer,arizona state university-tempe,Spring 2019,secur
Security Analys Portfolio Mgmt,FIN 421,3,Schreindorfer,arizona state university-tempe,Spring 2019,secur
Security Analys Portfolio Mgmt,FIN 421,3,Schreindorfer,arizona state university-tempe,Spring 2019,secur
Security Analys Portfolio Mgmt,FIN 421,3,Smith,arizona state university-tempe,Spring 2019,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bonadurer,arizona state university-tempe,Spring 2019,secur
Derivative Financl Securities,FIN 427,3,Sacks,arizona state university-tempe,Spring 2019,secur
Topic: Trading in Financial Securities Markets,FIN 494,3,Elkins,arizona state university-tempe,Spring 2019,secur
Topic: DiscSem: Whole Govt Solutions to US National Secur,LIA 194,1,"Freakley, Pagel",arizona state university-tempe,Spring 2019,secur
Natl Security/Intell/Terrorism,POS 364,3,Ripley,arizona state university-tempe,Spring 2019,secur
International Security,POS 467,3,Kao,arizona state university-tempe,Spring 2019,secur
Topic: National Security Policy Design,POS 494,3,Pagel,arizona state university-tempe,Spring 2019,secur
National Security Affairs,AES 401,3,"Anderson, Duncan, Padbury, Tevich",arizona state university-tempe,Fall 2017,secur
Computer Systems Security,CSE 466,3,Dasgupta,arizona state university-tempe,Fall 2017,secur
Computer Network Security,CSE 468,3,"Chowdhary, Huang",arizona state university-tempe,Fall 2017,secur
Info Assurance & Security,CSE 543,3,"Ponneganti, Yau",arizona state university-tempe,Fall 2017,secur
Software Security,CSE 545,3,"Mishra, Yau",arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Radway,arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Radway,arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bhattacharya,arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bhattacharya,arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Bhattacharya,arizona state university-tempe,Fall 2017,secur
Security Analys Portfolio Mgmt,FIN 421,3,Radway,arizona state university-tempe,Fall 2017,secur
Derivative Financl Securities,FIN 427,3,Aragon,arizona state university-tempe,Fall 2017,secur
Natl Security/Intell/Terrorism,POS 364,3,"Ellis, Simon",arizona state university-tempe,Fall 2017,secur
Topic: National Security Policy Design,POS 494,3,Pagel,arizona state university-tempe,Fall 2017,secur
