,title,dept_num,description,credits,instructor,syllabus,university,term,keyword,new
20,Security and Privacy Concepts in the Wild,CS 5435,"This course will impart a technical and social understanding of how and why security and privacy matter, how to think adversarially, how (and how not) to design systems and products. Less attention will ... view course details",3,"Juels, A",                                1 available,cornell university,Fall 2017,privac,
25,Fixed-Income Securities,AEM 4260,"Focuses on fixed-income securities including corporate bonds, default-free bonds, and floating rate notes. Other topics include related financial instruments such as forwards and futures on fixed-income ... view course details",4,"Bogan, V",                                none,cornell university,Fall 2017,secur,
27,Inventing an Information Society,AMST 2980,"Explores the history of information technology from the 1830s to the present by considering the technical and social history of telecommunications (telegraph and the telephone), radio, television, computers, ... view course details",3,"Kline, R",                                1 available,cornell university,Fall 2017,societ,inform
29,Toward a Sustainable Global Food System: Food Policy for Developing Countries,AEM 4450,"Comprehensive presentation and discussion of policy options for a sustainable global food system, with focus on developing countries. Topics include economic policy related to nutrition, health, consumption, ... view course details",3,"Pingali, P",                                1 available,cornell university,Fall 2017,polic,system
38,"Gendering Religion, Science and Technology",AMST 2621,"There are several ""just-so stories"" about science and religion: the world's religions are parallel systems of belief in the supernatural; science has a set method that produces universal truths; and religion ... view course details",4,"Rock-Singer, C",                                none,cornell university,Spring 2018,gender,technolog
49,Privacy in the Digital Age,CS 5436,"This course introduces students to privacy technologies and surveys the current state of digital privacy from multiple perspectives, including technology, law, policy, ethics, economics, and ... view course details",3-4,"Nissenbaum, H",                                none,cornell university,Spring 2018,privac,digit
54,Practitioner's Overview of Securities Markets and Asset Management,AEM 3060,"A broad overview of various aspects of the Fixed Income and Equities Markets and the role of Investment Banks. Topics, amongst others, will include: Securities Sales and Trading, Fiscal and Monetary Policy ... view course details",1,"Edwards, A",                                1 available,cornell university,Spring 2018,secur,
66,The American Legal System,GOVT 3150,"This course offers a comprehensive introduction to the American legal system, its roots in natural and common law, the purposes/values it serves (e.g., resolution of private grievances; punishment of offenses ... view course details",4,"Stewart, C",                                none,cornell university,Summer 2018,legal,system
93,Security and Privacy Concepts in the Wild,CS 5435,"This course will impart a technical and social understanding of how and why security and privacy matter, how to think adversarially, how (and how not) to design systems and products. Less attention will ... view course details",3,"Juels, A",                                1 available,cornell university,Fall 2018,privac,
98,National Security Affairs / Preparation for Active Duty I,AIRS 4401,This course is designed for college seniors and gives them the foundation to understand their role as military officers in American society. It is an overview of the complex social and political issues ... view course details,3,"Heath, M",                                none,cornell university,Fall 2018,secur,
102,Toward a Sustainable Global Food System: Food Policy for Developing Countries,AEM 4450,"Comprehensive presentation and discussion of policy options for a sustainable global food system, with focus on developing countries. Topics include economic policy related to nutrition, health, consumption, ... view course details",3,"Pingali, P",                                1 available,cornell university,Fall 2018,polic,system
123,"Internet Law, Privacy and Security",LAW 6568,"This is a survey course in Internet law, with particular emphasis on privacy and security. Â It is designed to teach lawyers what they need to know to work effectively with computer technologists, and vice ... view course details",3,"Grimmelmann, J",                                1 available,cornell university,Spring 2019,privac,internet
128,Practitioner's Overview of Securities Markets and Asset Management,AEM 3060,"A broad overview of various aspects of the Fixed Income and Equities Markets and the role of Investment Banks. Topics, amongst others, will include: Securities Sales and Trading, Fiscal and Monetary Policy ... view course details",1,"Edwards, A",                                1 available,cornell university,Spring 2019,secur,
135,"Information Ethics, Law, and Policy",INFO 1200,"This course investigates the ethical, legal, and policy foundations of contemporary information technology. Through lectures, readings, discussions, and short assignments, we will address contemporary ... view course details",3,"Jack, M",                                none,cornell university,Summer 2019,ethic,inform
140,The American Legal System,GOVT 3150,"This course offers a comprehensive introduction to the American legal system, its roots in natural and common law, the purposes/values it serves (e.g., resolution of private grievances; punishment of offenses ... view course details",4,"Stewart, C",                                none,cornell university,Summer 2019,legal,system
