Keyword,Technical/Normative,Round ,Include,Special Case,
Accountability,N,2,Y,,
Critical,N,1,Y,,
Democracy,N,1,Y,,
Discrimination ,N,2,Y,,
Equality ,N,2,Y,,
Equity ,N,2,Y,,
Ethic,N,1,Y,,https://medium.com/@cfiesler/tech-ethics-curricula-a-collection-of-syllabi-3eedfb76be18
Fair,N,1,Y,,
Feminism,N,1,Y,,
Gender,N,1,Y,,
Govern,N,1,Y,,
History ,N,2,Y,,
Inequality,N,1,Y,,
Justice,N,1,Y,,
Law,N,1,Y,,
Legal,N,1,Y,,
Liberty,N,2,Y,,
Moral ,N,2,Y,,
Normative,N,1,Y,,
Philosophy,N,1,Y,,
Politics,N,1,Y,,
Power,N,1,Y,,
Privacy,N,1,Y,as normative or technical,
Race,N,1,Y,,
Religious,N,1,Y,,
Responsible,N,1,Y,,
Right,N,1,Y,,
Security,N,1,Y,as normative or technical,
Social,N,1,Y,,
Society,N,1,Y,,
Surveillance,N,1,Y,,
Transparent,N,2,Y,,
Value,N,1,Y,,
AI,T,1,Y,,
Algorithm,T,1,Y,,
Analytics,T,1,Y,,
Artificial intelligence,T,1,Y,,
Automat,T,1,Y,,
Code,T,1,Y,,
Computing,T,1,Y,,
CS,T,3,Y,,
Cyber,T,1,Y,,
Data,T,1,Y,,
Digital,T,1,Y,,
ICT,T,1,Y,,
Information,T,1,Y,,
Intelligen,T,1,Y,,
Internet,T,1,Y,,
Machine,T,1,Y,,
ML,T,1,Y,,
Natural Language Processing,T,1,Y,,
NLP,T,1,Y,,
Platform,T,3,Y,,
Programming,T,1,Y,,
Robot,T,1,Y,,
Software,T,1,Y,,
System,T,1,Y,,
Technology ,T,1,Y,,
Anthropology ,N,2,P,,
Economy,N,2,P,,
Policy,N,2,Y,,
Sociology ,N,2,P,,
Anonymity ,N,2,N,,
Application ,N,2,N,,
Autonomy ,N,2,N,,
Bioethics,N,2,N,,
Challenge,N,2,N,,
Citizen,N,2,N,,
Civil,N,2,N,,
Class,N,2,N,,
Confidential ,N,2,N,,
Creed ,N,2,N,,
Culture ,N,2,N,,
Design,N,2,N,,
Dignity ,N,2,N,,
Distributive (justice),N,2,N,,
Diverse,N,2,N,,
Duty ,N,2,N,,
Explainable ,N,2,N,,
Human,N,2,N,,
Implication ,N,2,N,,
Industry,N,2,N,,
Innovation ,N,2,N,,
Interaction ,N,2,N,,
Interpretable ,N,2,N,,
Modern ,N,2,N,,
Motto ,N,2,N,,
Obligation,N,2,N,,
Participatory ,N,2,N,,
People ,N,2,N,,
Pledge ,N,2,N,,
Practice,N,2,N,,
Praxis,N,2,N,,
Public ,N,2,N,,
Safety ,N,2,N,,
Social good ,N,2,N,,
Standards,N,2,N,,
Theory ,N,2,N,,
User,N,2,N,,
Computer Vision ,T,2,N,,
Deep Learning,T,2,N,,
Engineering,T,1,N,,
Hack ,T,2,N,,
HCI,T,2,N,,
Model,T,1,N,,
Network,T,1,N,,
Programming Language,T,2,N,,
Science ,T,2,N,,
Statistic,T,1,N,,
STEM,T,1,N,,
Visualization,T,1,N,,